1,DLCRestartPos,DLCRestartPos,images/icons/markers/default.png,,2018-09-11 17:40:41,2018-09-11 17:40:41
2,FldObj_DLC_ShootingStarCollaborationAnchor,FldObj_DLC_ShootingStarCollaborationAnchor,images/icons/markers/default.png,,2018-09-11 17:40:41,2018-09-11 17:40:41
3,Korok Seed,KorokLocation,images/icons/markers/default.png,,2018-09-11 17:40:41,2018-09-11 17:40:41
4,Location,LocationMarker,images/icons/markers/default.png,,2018-09-11 17:40:43,2018-09-11 17:40:43
5,LocationPointer,LocationPointer,images/icons/markers/default.png,,2018-09-11 17:40:43,2018-09-11 17:40:43
6,NonAutoGenArea,NonAutoGenArea,images/icons/markers/default.png,,2018-09-11 17:40:43,2018-09-11 17:40:43
7,NonAutoPlacement,NonAutoPlacement,images/icons/markers/default.png,,2018-09-11 17:40:47,2018-09-11 17:40:47
8,RoadNpcRestStation,RoadNpcRestStation,images/icons/markers/default.png,,2018-09-11 17:40:49,2018-09-11 17:40:49
9,StartPos,StartPos,images/icons/markers/default.png,,2018-09-11 17:40:49,2018-09-11 17:40:49
10,StaticGrudgeLocation,StaticGrudgeLocation,images/icons/markers/default.png,,2018-09-11 17:40:49,2018-09-11 17:40:49
11,TargetPosMarker,TargetPosMarker,images/icons/markers/default.png,,2018-09-11 17:40:50,2018-09-11 17:40:50
12,TeraWaterDisable,TeraWaterDisable,images/icons/markers/default.png,,2018-09-11 17:40:50,2018-09-11 17:40:50
13,TerrainHideCenterTag,TerrainHideCenterTag,images/icons/markers/default.png,,2018-09-11 17:40:50,2018-09-11 17:40:50
14,Obj_TreeConiferous_A_Snow_01,Obj_TreeConiferous_A_Snow_01,images/icons/markers/default.png,,2018-09-11 17:40:50,2018-09-11 17:40:50
15,Swift Violet,Item_Plant_O,images/icons/markers/default.png,,2018-09-11 17:40:50,2018-09-11 17:40:50
16,Rushroom,Item_Mushroom_D,images/icons/markers/default.png,,2018-09-11 17:40:50,2018-09-11 17:40:50
17,Obj_Plant_CypressLow_B_01,Obj_Plant_CypressLow_B_01,images/icons/markers/default.png,,2018-09-11 17:40:50,2018-09-11 17:40:50
18,FldObj_KorokStone_A_01,FldObj_KorokStone_A_01,images/icons/markers/default.png,,2018-09-11 17:40:50,2018-09-11 17:40:50
19,Ore Deposit,Obj_Mineral_A_01,images/icons/markers/default.png,,2018-09-11 17:40:50,2018-09-11 17:40:50
20,Obj_TreeWhiteBirch_A_02,Obj_TreeWhiteBirch_A_02,images/icons/markers/default.png,,2018-09-11 17:40:50,2018-09-11 17:40:50
